County,Year,Model,SSP,Months
Alachua,2030,ACC,245,7
Baker,2030,ACC,245,6
Bay,2030,ACC,245,6
Bradford,2030,ACC,245,7
Brevard,2030,ACC,245,8
Broward,2030,ACC,245,10
Calhoun,2030,ACC,245,6
Charlotte,2030,ACC,245,9
Citrus,2030,ACC,245,7
Clay,2030,ACC,245,7
Collier,2030,ACC,245,10
Columbia,2030,ACC,245,6
DeSoto,2030,ACC,245,9
Dixie,2030,ACC,245,6
Duval,2030,ACC,245,7
Escambia,2030,ACC,245,6
Flagler,2030,ACC,245,7
Franklin,2030,ACC,245,6
Gadsden,2030,ACC,245,6
Gilchrist,2030,ACC,245,7
Glades,2030,ACC,245,9
Gulf,2030,ACC,245,6
Hamilton,2030,ACC,245,6
Hardee,2030,ACC,245,9
Hendry,2030,ACC,245,9
Hernando,2030,ACC,245,7
Highlands,2030,ACC,245,9
Hillsborough,2030,ACC,245,8
Holmes,2030,ACC,245,6
Indian River,2030,ACC,245,9
Jackson,2030,ACC,245,6
Jefferson,2030,ACC,245,6
Lafayette,2030,ACC,245,6
Lake,2030,ACC,245,7
Lee,2030,ACC,245,9
Leon,2030,ACC,245,6
Levy,2030,ACC,245,7
Liberty,2030,ACC,245,6
Madison,2030,ACC,245,6
Manatee,2030,ACC,245,9
Marion,2030,ACC,245,7
Martin,2030,ACC,245,9
Miami-Dade,2030,ACC,245,11
Monroe,2030,ACC,245,10
Nassau,2030,ACC,245,6
Okaloosa,2030,ACC,245,6
Okeechobee,2030,ACC,245,9
Orange,2030,ACC,245,8
Osceola,2030,ACC,245,8
Palm Beach,2030,ACC,245,10
Pasco,2030,ACC,245,8
Pinellas,2030,ACC,245,9
Polk,2030,ACC,245,9
Putnam,2030,ACC,245,7
Santa Rosa,2030,ACC,245,6
Sarasota,2030,ACC,245,9
Seminole,2030,ACC,245,8
St. Johns,2030,ACC,245,7
St. Lucie,2030,ACC,245,9
Sumter,2030,ACC,245,7
Suwannee,2030,ACC,245,7
Taylor,2030,ACC,245,6
Union,2030,ACC,245,7
Volusia,2030,ACC,245,7
Wakulla,2030,ACC,245,6
Walton,2030,ACC,245,6
Washington,2030,ACC,245,6
Alachua,2030,CMC,245,6
Baker,2030,CMC,245,6
Bay,2030,CMC,245,6
Bradford,2030,CMC,245,6
Brevard,2030,CMC,245,8
Broward,2030,CMC,245,10
Calhoun,2030,CMC,245,6
Charlotte,2030,CMC,245,9
Citrus,2030,CMC,245,7
Clay,2030,CMC,245,6
Collier,2030,CMC,245,10
Columbia,2030,CMC,245,6
DeSoto,2030,CMC,245,9
Dixie,2030,CMC,245,6
Duval,2030,CMC,245,6
Escambia,2030,CMC,245,6
Flagler,2030,CMC,245,6
Franklin,2030,CMC,245,6
Gadsden,2030,CMC,245,6
Gilchrist,2030,CMC,245,6
Glades,2030,CMC,245,9
Gulf,2030,CMC,245,6
Hamilton,2030,CMC,245,6
Hardee,2030,CMC,245,8
Hendry,2030,CMC,245,9
Hernando,2030,CMC,245,7
Highlands,2030,CMC,245,9
Hillsborough,2030,CMC,245,8
Holmes,2030,CMC,245,6
Indian River,2030,CMC,245,9
Jackson,2030,CMC,245,6
Jefferson,2030,CMC,245,6
Lafayette,2030,CMC,245,6
Lake,2030,CMC,245,7
Lee,2030,CMC,245,9
Leon,2030,CMC,245,6
Levy,2030,CMC,245,6
Liberty,2030,CMC,245,6
Madison,2030,CMC,245,6
Manatee,2030,CMC,245,8
Marion,2030,CMC,245,7
Martin,2030,CMC,245,9
Miami-Dade,2030,CMC,245,10
Monroe,2030,CMC,245,10
Nassau,2030,CMC,245,6
Okaloosa,2030,CMC,245,6
Okeechobee,2030,CMC,245,9
Orange,2030,CMC,245,7
Osceola,2030,CMC,245,8
Palm Beach,2030,CMC,245,9
Pasco,2030,CMC,245,7
Pinellas,2030,CMC,245,8
